title,author,publisherName,itemPrice,salesDate,itemCaption,isbn,itemUrl,largeImageUrl,reviewCount,reviewAverage,keyword,どうぶつ,きょうりゅう,いぬ,ねこ,のりもの,むし,おばけ,あんぱんまん,そら,まほう,わくわく,どきどき,いらいら,きらきら,楽しい,かわいい,シリーズ,世界,もの,シール,登場
そらいろのたね,なかがわりえこ/おおむらゆりこ,株式会社 福音館書店,1100,2007年6月,ゆうじが自分の模型飛行機ととりかえた空色のたねをまくと、空色の家がはえてきました。「ぐりとぐら」のコンビによってつくられたとびきり楽しい絵本。,9784834000849,https://books.rakuten.co.jp/rb/120899/?rafcid=wsc_b_bs_1079003001658992298,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0849/9784834000849.jpg?_ex=200x200,189,4.34,そら,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
そらまめくんのベッド,なかやみわ,株式会社 福音館書店,1320,1999年9月,そらまめくんの宝物は、雲のようにふわふわで、綿のようにやわらかいベッド。だからだれにも貸してあげません。ある日、そのだいじなベッドが突然無くなってしまったからさあ大変！そらまめくんは必死でベッドをさがしますが、どこにもありません。ところが、やっと見つけたベッドには、うずらがたまごを生んで温めていたのです。さて、そらまめくんは……。子どもたちに大人気の愉快なそらまめくんが大活躍する絵本です。,9784834016291,https://books.rakuten.co.jp/rb/1094963/?rafcid=wsc_b_bs_1079003001658992298,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6291/9784834016291.jpg?_ex=200x200,439,4.6,そら,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
そらいっぱいの　こいのぼり,羽尻 利門,株式会社 世界文化社,1430,2022年03月14日頃,"・こいのぼりの由来を伝える行事絵本。
・美しく細密な絵で、日本の風景、伝統を描きます。
・絵探し、文字探しで、子どもも大人も絵を楽しめます。

ゴールデンウィーク、おじいちゃんの家でコイの滝登りを見たケンゴ。
そこでおじいちゃんに、こいのぼりの由来について聞き……。
「どうしてこいのぼりをあげるの？」という、
子どもの素朴な疑問にこたえながら、美しく細密に描かれた絵で、
日本の端午の節句の風景を味わえます。
カバーでは絵探し、文字探しが楽しめ、本文中にも各見開きに
絵本と関わりの深い言葉（5つの文字）が隠されています。
絵を読む楽しさがよりいっそう深まる絵本です。",9784418228232,https://books.rakuten.co.jp/rb/17034124/?rafcid=wsc_b_bs_1079003001658992298,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8232/9784418228232_1_3.jpg?_ex=200x200,2,4.0,そら,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
バムとケロのそらのたび,島田　ゆか,文溪堂,1650,1995年10月,月曜日の朝，おじいちゃんから山のようなこづつみがとどいた。中身は組み立て式ひこうき。ひこうきにのって，おじいちゃんの誕生日のお祝いに出かけますが……。,9784894230927,https://books.rakuten.co.jp/rb/761054/?rafcid=wsc_b_bs_1079003001658992298,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0927/9784894230927.jpg?_ex=200x200,405,4.79,そら,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
こどもずかんもっと,よしだじゅんこ,Gakken,1045,2004年8月,おやつや食事から、かぞく、しぜん、いえやまちにある身近なものまで、テーマ別に、楽しい絵がせいぞろい。日本語で名まえを言えるようになったら、次は、英語の呼びかたにもチャレンジ。,,https://books.rakuten.co.jp/rb/1688808/?rafcid=wsc_b_bs_1079003001658992298,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0520/05202086.jpg?_ex=200x200,333,4.81,そら,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
海とそらがであうばしょ,テリー・ファン/エリック・ファン/増子　久美,化学同人,2530,2021年03月03日頃,おじいさんが話してくれた、海をそらがであうばしょ。一緒に見にいく約束をしていたおじいさんは、もういません。フィンは自分で船をつくり、そのふしぎなばしょを見つけるため海に出ます。目指した先に広がっていた世界とは…。,9784759821185,https://books.rakuten.co.jp/rb/16505798/?rafcid=wsc_b_bs_1079003001658992298,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1185/9784759821185_1_108.jpg?_ex=200x200,17,3.77,そら,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
小型絵本　バムとケロのそらのたび,島田　ゆか,文溪堂,990,2010年03月01日頃,人気絵本『バムとケロのそらのたび』が待望の小型絵本になって登場。小さくなって、お出かけのお供に最適です。,9784894236806,https://books.rakuten.co.jp/rb/6398564/?rafcid=wsc_b_bs_1079003001658992298,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6806/9784894236806.jpg?_ex=200x200,58,4.55,そら,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ペンギンきょうだい　そらのたび,工藤　ノリコ,ブロンズ新社,1430,2012年10月,おねえちゃん、ペンちゃん、ギンちゃんは、3人だけでそらのたびに出かけます。はじめての飛行機は、ドキドキ・ワクワクの連続。緊張する離陸。美しい景色を見ながらの機内食。嬉しい、子ども向け機内サービス！　空港に着いて、乗りかえしようとしたそのとき……。,9784893095527,https://books.rakuten.co.jp/rb/11849247/?rafcid=wsc_b_bs_1079003001658992298,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5527/9784893095527_1_3.jpg?_ex=200x200,45,4.39,そら,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
そらののりものえほん,いしかわ　こうじ,童心社,1100,2012年11月28日頃,"「じぇっとき　ごぉー　とおいくにへ　とんでいくよ。」身近なものから、乗ったことのないものまで、そらののりものが大集合！
しかけページをめくると、のりものがおおぞら高く飛び立ちます。斬新な発想で、子どもたちの「とびたい！」という情熱と、のりものを大好きな気持ちに応える意欲作。
本当にのりものが動き出すような躍動感のある展開で、ますますめくるのが楽しくなる、のりものえほん。",9784494008377,https://books.rakuten.co.jp/rb/12108251/?rafcid=wsc_b_bs_1079003001658992298,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8377/9784494008377_1_2.jpg?_ex=200x200,5,4.4,そら,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
ビッグブック　そらの100かいだてのいえ,いわいとしお,偕成社,9900,2018年01月22日頃,あるさむいゆきのひのこと、おなかをすかせたシジュウカラのツピくんがみつけたのは、ひとつぶのひまわりのたねでした。「これじゃ、おなかいっぱいにはならないや…そうだ！はなをさかせてたねをふやそう！」ツピくんは、うえるばしょをさがしにそらへととびたちました。縦長の大きな画面が大迫力のビッグブック。,9784033328102,https://books.rakuten.co.jp/rb/15262436/?rafcid=wsc_b_bs_1079003001658992298,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8102/9784033328102.jpg?_ex=200x200,0,0.0,そら,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
